Filename,"General, Income Tax, and Uniform School Funds",State Government,Expenditures,Individuals & Businesses,Regulatory Impact
SB0031.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Dedicated Credits Revenue
$0
$(18,000)
$(18,000)
Total Revenues
$0
$(18,000)
$(18,000)
Enactment of this legislation could reduce Dedicated Credits revenue to the Division of Water Rights
by $18,000 ongoing, starting in FY 2023, due to fewer application filing fees.","FY 2022
FY 2023
FY 2024
General Fund
$0
$(3,000)
$(3,000)
Dedicated Credits Revenue
$0
$(18,000)
$(18,000)
Total Expenditures
$0
$(21,000)
$(21,000)
Enactment of this legislation could reduce costs to the Division of Water Rights by $21,000 ongoing:
$18,000 from Dedicated Credits and $3,000 from the General Fund, starting in FY 2023, due to less
processing of applications for water rights changes.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$3,000
$3,000
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation could reduce the requirement to file an application and pay $150 per
application in certain cases. The total estimated impact on Utah residents and businesses would be a
savings of $18,000 per year, starting in FY 2023.",
HB0130S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Dept. of Public Safety Rest. Acct.
$60,000
$0
$0
Total Expenditures
$60,000
$0
$0
Enactment of this legislation could cost the Department of Public Safety - Driver License Division
$60,000 one-time from the Department of Public Safety Restricted Account in FY 2023 for
programming costs.
FY 2022
FY 2023
FY 2024
Net All Funds
$(60,000)
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0029S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
To the extent that people are convicted of a second degree felony instead of a third degree felony as
a result of this bill and pay their financial obligation, this could increase revenue/case in the following
amounts: (1) General Fund $1,000.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
To the extent that individuals pay higher fines as a result of the provisions of this bill, this could cost
certain offenders about $1,000/case, however the total amount is unknown.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0131.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0076S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
To the extent that there are additional offenders as a result of this bill, this could also increase revenue
to local governments by about $130/case in fines/fees.","UCA 36-12-13(2)(c)
To the extent that certain individuals violate provisions of this bill, this could cost certain offenders
about $130/case, however the total amount is unknown.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0240S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0289S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$2,810,600
$2,810,600
General Fund, One-time
$0
$2,400
$0
Total Expenditures
$0
$2,813,000
$2,810,600
Enactment of this legislation could cost the state approximately $2.8 million ongoing from the General
Fund beginning in FY2023 for the provision of health insurance coverage to approximately 258
volunteer emergency medical service personnel. Enactment of this legislation could also cost the
Department of Health approximately $21,000 ongoing from the General Fund beginning in FY2023 to
contract with an outside entity to administer the new health insurance program and compensate board
members. Enactment of this legislation could also cost the Department of Health $4,700 ongoing
beginning in FY2023 and $2,400 one-time in FY2023 from the General Fund for staff costs associated
with program development and monitoring and rule creation; these costs can be absorbed.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(2,813,000)
$(2,810,600)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation could increase health insurance premiums for eligible and participating
enrollees by approximately $262,700 annually in aggregate, or by approximately $1,000 per enrollee
for 258 enrollees.
H.B. 289 1st Sub. (Buff)
2022/03/03 13:19, Lead Analyst: Maddy Oritt Attorney: AVA","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0359S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$35,100
$35,100
General Fund, One-time
$0
$(31,600)
$(31,600)
Federal Funds, One-time
$79,000
$37,600
$0
Transfers
$79,000
$37,600
$0
Total Expenditures
$158,000
$78,700
$3,500
Enactment of this legislation could cost the Courts $3,500 ongoing from the General Fund beginning
in FY 2023 to process eviction expungement petitions and $31,600 ongoing from the General Fund
beginning in FY 2026 to process automatic eviction expungements. Processing eviction expungement
petitions from previous years and completing related technology system modifications could cost the
Courts $79,000 one-time in FY 2022 and $37,600 one-time in FY 2023, which could be paid for with
already-authorized federal Emergency Rental Assistance funds through the Department of Workforce
Services.
FY 2022
FY 2023
FY 2024
Net All Funds
$(158,000)
$(78,700)
$(3,500)
Local Government
UCA 36-12-13(2)(c)
To the extent that a local government agency maintains eviction records, that agency would need
to monitor expunged evictions on the Courts' website and expunge those evictions from their own
records.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.
H.B. 359 2nd Sub. (Gray)
2022/02/28 08:19, Lead Analyst: Clare Tobin Lence Attorney: JC1","UCA 36-12-13(2)(d)
Enactment of this legislation could result in a small increase in the regulatory burden for Utah residents
or businesses."
HB0095S03.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0100S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$1,756,200
$1,756,200
General Fund, One-time
$6,500
$0
$0
Total Expenditures
$6,500
$1,756,200
$1,756,200
Enactment of this bill appropriates $1,752,200 ongoing from the General Fund to the Paid Postpartum
Recovery and Parental Leave Program. The bill may cost the Division of Finance $6,500 one-time in
FY 2022 and $4,000 ongoing beginning in FY 2023 for system programming and financial accounting.
FY 2022
FY 2023
FY 2024
Net All Funds
$(6,500)
$(1,756,200)
$(1,756,200)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0250.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
General Fund
$0
$(624,500)
$(624,500)
Environmental Quality (GFR)
$0
$622,700
$622,700
Waste Tire Recycling Fund
$0
$1,800
$1,800
Total Revenues
$0
$0
$0
Enactment of this legislation would direct fee revenues, previously deposited to the General Fund
as free revenue, to be deposited into restricted accounts that support the programs for which the
fee revenue is generated. Specifically, this legislation could reduce revenues to the General Fund
by $624,700 ongoing, and increase revenues for the Environmental Quality Restricted Account by
$622,700 ongoing and the Waste Tire Recycling Fund by $1,800.","FY 2022
FY 2023
FY 2024
General Fund
$0
$(877,900)
$(877,900)
General Fund, One-time
$0
$0
$0
Environmental Quality (GFR)
$0
$622,700
$622,700
Waste Tire Recycling Fund
$0
$1,800
$1,800
Total Expenditures
$0
$(253,400)
$(253,400)
Enactment of this legislation could reduce General Fund expenditures by the Department of
Environmental Quality's Division of Waste Management and Radiation Control by $877,900 ongoing
beginning in FY 2023. This General Fund reduction would be partially offset by restricted account
appropriations. The Division's base budget has been adjusted to reflect this ongoing shift beginning in
FY 2024.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$253,400
$253,400
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.
H.B. 250
2022/02/02 16:15, Lead Analyst: Lacey K. Moore Attorney: PO","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0401.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
General Fund
$0
$(5,800,000)
$(5,800,000)
Total Revenues
$0
$(5,800,000)
$(5,800,000)
Enactment of this legislation could reduce revenue to the General Fund by $5.8 million annually as a
result of increased circuit breaker credits.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(5,800,000)
$(5,800,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation could reduce local property tax revenue by $4,900,000 in the first year
and result in a tax shift in all subsequent years.","UCA 36-12-13(2)(c)
Enactment of this legislation could result in a decrease in property tax of approximately $4.9 million
and additional circuit breaker credits of approximately $5.8 million for a total reduction in tax liability
of approximately $10.7 million for those that qualify. Other property taxpayers that do not qualify for
circuit breaker credits would see a small tax increase due to a tax shift. It is estimated that the owner
of a $400,000 primary residential home would pay about $3.36 more in property tax due to this tax
shift.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
H.B. 401
2022/02/17 08:49, Lead Analyst: Andrea Wilko Attorney: CRG"
HB0350.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$8,400
$8,400
Total Expenditures
$0
$8,400
$8,400
Enactment of this bill could cost the Department of Cultural and Community Engagement $8,400
ongoing beginning in FY 2023 from the General Fund for per diem, travel, and staff for the National
Register Review Committee. The Department has indicated it can absorb the costs in its existing
budget.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(8,400)
$(8,400)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
H.B. 350
2022/02/15 11:15, Lead Analyst: Alexander R. Wilson Attorney: RS2"
HB0321.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
